,day,title,type_meal,Portion,Calories,Carbs,Fat,Protein,Fiber,Meal,validador
139,23,Orange-Vanilla Protein Smoothie,Breakfast,1.0,388,591,17,272,14,"<a href=https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/>Orange-Vanilla Protein Smoothie</a>",390.0
140,23,Tropical protein smoothie,Lunch,1.0,846,765,21,282,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
141,23,Peanut Butter & Carrots,Lunch,1.0,479,191,162,88,60,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",482.0
142,23,BBQ Chicken Sandwich,Dinner,1.0,935,400,148,416,48,"<a href=https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/>BBQ Chicken Sandwich</a>",940.0
143,23,Apples and Almond Butter,Snack,1.0,289,309,180,71,76,"<a href=https://www.eatthismuch.com/recipe/nutrition/apples-and-almond-butter,55276/>Apples and Almond Butter</a>",291.0
144,23,Oranges,Snack,1.0,61,153,1,11,30,"<a href=https://www.eatthismuch.com/recipe/nutrition/oranges,477502/>Oranges</a>",62.0
145,24,Peanut Butter Protein Oats,Breakfast,1.1,424,355,151,389,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
146,24,Tuna and Ranch Garden Salad,Lunch,1.1,969,378,213,372,84,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/>Tuna and Ranch Garden Salad</a>",890.0
147,24,Spaghetti with Meat Sauce,Dinner,1.1,921,567,134,263,43,"<a href=https://www.eatthismuch.com/recipe/nutrition/spaghetti-with-meat-sauce,905979/>Spaghetti with Meat Sauce</a>",846.0
148,24,Spinach Recipe,Dinner,1.1,222,75,80,54,41,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-recipe,57064/>Spinach Recipe</a>",204.0
149,24,Tropical protein smoothie,Snack,1.1,463,837,23,309,62,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",425.0
150,25,Breakfast Greek Yogurt Delight,Breakfast,1.2,518,458,220,398,55,"<a href=https://www.eatthismuch.com/recipe/nutrition/breakfast-greek-yogurt-delight,937020/>Breakfast Greek Yogurt Delight</a>",423.0
151,25,Tropical protein smoothie,Lunch,1.2,1042,942,26,348,69,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
152,25,Pasta with Creamy Spinach and Mushroom Sauce,Dinner,1.2,1189,831,210,219,85,"<a href=https://www.eatthismuch.com/recipe/nutrition/pasta-with-creamy-spinach-and-mushroom-sauce,944769/>Pasta with Creamy Spinach and Mushroom Sauce</a>",970.0
153,25,Raspberry Mango Sunrise Smoothie,Snack,1.2,239,524,23,66,100,"<a href=https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/>Sunrise Smoothie</a>",195.0
154,26,Blueberry protein pudding,Breakfast,1.0,450,278,37,758,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/blueberry-protein-pudding,386736/>Blueberry protein pudding</a>",432.0
155,26,Granola,Breakfast,1.0,144,157,70,43,27,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
156,26,Big Bad Bean Burrito,Lunch,1.0,508,322,124,79,117,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
157,26,Yogurt with Banana & Honey,Lunch,1.0,785,647,66,235,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/yogurt-with-banana-honey,412895/>Yogurt & Banana</a>",754.0
158,26,Prosciutto-Manchego Sandwich with Spinach,Dinner,1.0,777,296,177,270,25,,746.0
159,26,Corn Flakes,Snack,1.0,231,367,52,105,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
160,26,Banana,Snack,1.0,109,281,4,13,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",105.0
161,27,"Spinach, Banana, and Peanut Butter Protein Shake",Breakfast,1.1,462,416,196,364,57,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/>Spinach, Banana, and Peanut Butter Protein Shake</a>",423.0
162,27,Barbecue tuna sandwich,Lunch,1.1,787,488,48,396,22,"<a href=https://www.eatthismuch.com/recipe/nutrition/barbecue-tuna-sandwich,37612/>Barbecue tuna sandwich</a>",720.0
163,27,Almonds,Lunch,1.1,358,66,155,65,38,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",328.0
164,27,Spicy Chicken Fajita,Dinner,1.1,991,320,213,420,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-fajita,34077/>Spicy Chicken Fajita</a>",906.0
165,27,Corn Flakes,Snack,1.1,242,386,54,110,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
166,27,Granola,Snack,1.1,152,165,74,45,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
167,28,Strawberry Banana Protein Shake,Breakfast,1.3,325,377,56,321,46,"<a href=https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/>Strawberry Protein Shake</a>",257.0
168,28,Peanut Butter & Carrots,Lunch,1.3,610,242,206,112,77,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",482.0
169,28,Grapes,Lunch,1.3,263,345,2,13,17,"<a href=https://www.eatthismuch.com/recipe/nutrition/grapes,474464/>Grapes</a>",208.0
170,28,Turkey Bacon BLT Sandwich,Dinner,1.3,1301,396,367,416,63,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/>Turkey Bacon BLT Sandwich</a>",1028.0
171,28,Corn Flakes,Snack,1.3,280,446,63,127,11,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
172,28,Almonds,Snack,1.3,207,77,179,75,44,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",164.0
173,29,Banana oatmeal smoothie,Breakfast,1.0,730,973,190,516,125,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana-oatmeal-smoothie,42556/>Banana oatmeal smoothie</a>",717.0
174,29,Tropical protein smoothie,Lunch,1.0,865,783,22,289,58,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
175,29,Banana,Lunch,1.0,213,274,4,13,31,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",210.0
176,29,BBQ Chicken Sandwich,Dinner,1.0,957,409,151,425,49,"<a href=https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/>BBQ Chicken Sandwich</a>",940.0
177,29,Peanut Butter & Carrots,Snack,1.0,245,195,165,90,62,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",241.0
178,30,Corn Flakes,Breakfast,1.2,275,438,62,125,11,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
179,30,Buttered Toast,Breakfast,1.2,150,148,83,43,21,"<a href=https://www.eatthismuch.com/recipe/nutrition/buttered-toast,254567/>Buttered Toast</a>",121.0
180,30,Avocado Chicken Salad,Lunch,1.2,1422,144,427,684,83,"<a href=https://www.eatthismuch.com/recipe/nutrition/avocado-chicken-salad,924564/>Chicken and avocado salad</a>",1146.0
181,30,Tuna Macaroni Goulash,Dinner,1.2,826,667,43,309,59,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-macaroni-goulash,34719/>Tuna Macaroni Goulash</a>",666.0
182,30,Basic protein shake,Snack,1.2,300,182,72,397,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",242.0
183,31,English Muffin Ham Breakfast Sandwich,Breakfast,1.2,630,379,339,443,67,"<a href=https://www.eatthismuch.com/recipe/nutrition/english-muffin-ham-breakfast-sandwich,927307/>English Muffin Ham Breakfast Sandwich</a>",513.0
184,31,Nonfat greek yogurt,Breakfast,1.2,174,105,11,301,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/nonfat-greek-yogurt,532933/>Nonfat greek yogurt</a>",142.0
185,31,Ham & Cheese Sandwich,Lunch,1.2,737,312,169,224,45,"<a href=https://www.eatthismuch.com/recipe/nutrition/ham-cheese-sandwich,412953/>Ham and cheese sandwich</a>",600.0
186,31,Burrito Bowl,Dinner,1.2,784,680,60,208,172,"<a href=https://www.eatthismuch.com/recipe/nutrition/burrito-bowl,946492/>Burrito Bowl</a>",638.0
187,31,Classic Mashed Cauliflower,Dinner,1.2,235,89,88,34,35,"<a href=https://www.eatthismuch.com/recipe/nutrition/classic-mashed-cauliflower,33952/>Cauliflower Mash</a>",192.0
188,31,"Date, Almond, and Cocoa Bliss Balls",Snack,1.2,281,569,81,38,71,"<a href=https://www.eatthismuch.com/recipe/nutrition/date-almond-and-cocoa-bliss-balls,974523/>Date, Almond, and Cocoa Bliss Balls</a>",229.0
189,31,Banana,Snack,1.2,129,331,4,15,38,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",105.0
190,32,Blueberry and Sunflower Seed Steel Cut Oatmeal,Breakfast,0.9,417,365,171,326,70,"<a href=https://www.eatthismuch.com/recipe/nutrition/blueberry-and-sunflower-seed-steel-cut-oatmeal,1030027/>Blueberry and Sunflower Seed Steel Cut Oatmeal</a>",443.0
191,32,Coconut Milk Protein Shake,Lunch,0.9,678,179,75,480,18,"<a href=https://www.eatthismuch.com/recipe/nutrition/coconut-milk-protein-shake,34529/>Coconut Milk Protein Shake</a>",720.0
192,32,Chicken & Mayo Bagel,Dinner,0.9,1174,572,107,612,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/>Chicken & Mayo Bagel</a>",1246.0
193,32,Garlic Roasted Brussels Sprouts,Dinner,0.9,305,83,130,30,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/garlic-roasted-brussels-sprouts,412930/>Garlic Roasted Brussels Sprouts</a>",324.0
194,32,Keto Avocado Pepperoni Salad,Snack,0.9,324,63,272,147,44,"<a href=https://www.eatthismuch.com/recipe/nutrition/keto-avocado-pepperoni-salad,1467795/>Keto Avocado Pepperoni Salad</a>",344.0
195,32,Cinnamon Apple Bites,Snack,0.9,76,203,1,4,26,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/>Cinnamon Apple Bites</a>",81.0
196,33,"Spinach, Banana, and Peanut Butter Protein Shake",Breakfast,1.3,530,477,225,417,66,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/>Spinach, Banana, and Peanut Butter Protein Shake</a>",423.0
197,33,Big Bad Bean Burrito,Lunch,1.3,611,387,149,95,141,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
198,33,Almonds,Lunch,1.3,411,76,178,75,43,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",328.0
199,33,Easy Cheesy Mixed Vegetables,Dinner,1.3,1171,327,180,694,104,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/>Easy Cheesy Mixed Vegetables</a>",934.0
200,33,Corn Flakes,Snack,1.3,278,442,62,126,11,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
201,34,"Peanut Butter, Banana, and Flax Green Smoothie",Breakfast,1.0,273,377,124,84,79,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/>Peanut Butter, Banana, and Flax Green Smoothie</a>",280.0
202,34,Buttered Toast with Cinnamon,Breakfast,1.0,140,178,54,54,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/buttered-toast-with-cinnamon,906422/>Buttered Toast with Cinnamon</a>",144.0
203,34,"Turkey, Provolone, and Sprout Sandwich",Lunch,1.0,1090,462,257,338,111,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-provolone-and-sprout-sandwich,1028373/>Turkey and Provolone Sandwich</a>",1114.0
204,34,Monte Cristo sandwich,Dinner,1.0,1078,293,306,355,44,"<a href=https://www.eatthismuch.com/recipe/nutrition/monte-cristo-sandwich,33517/>Monte Cristo sandwich</a>",1102.0
205,34,Tropical protein smoothie,Snack,1.0,415,752,21,277,55,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",425.0
206,35,Honey Strawberry Smoothie,Breakfast,1.0,278,328,123,107,30,"<a href=https://www.eatthismuch.com/recipe/nutrition/honey-strawberry-smoothie,939666/>Honey Strawberry Smoothie</a>",282.0
207,35,Cheese On Toast,Breakfast,1.0,254,180,149,121,30,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheese-on-toast,906474/>Cheese On Toast</a>",257.0
208,35,Quick Avocado Tuna Sandwich,Lunch,1.0,842,361,144,387,60,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>",852.0
209,35,Five Ingredient Pasta Toss,Dinner,1.0,971,757,147,182,71,"<a href=https://www.eatthismuch.com/recipe/nutrition/five-ingredient-pasta-toss,45537/>Five Ingredient Pasta Toss</a>",982.0
210,35,Broccoli with Cheddar Cheese,Dinner,1.0,468,138,158,135,75,"<a href=https://www.eatthismuch.com/recipe/nutrition/broccoli-with-cheddar-cheese,207466/>Broccoli with Cheddar Cheese</a>",474.0
211,35,Peppered Cottage Cheese,Snack,1.0,198,146,52,242,12,"<a href=https://www.eatthismuch.com/recipe/nutrition/peppered-cottage-cheese,1522297/>Peppered Cottage Cheese</a>",201.0
212,36,Breakfast Oatmeal with Milk and Blueberries,Breakfast,1.2,431,714,120,160,106,"<a href=https://www.eatthismuch.com/recipe/nutrition/breakfast-oatmeal-with-milk-and-blueberries,905940/>Breakfast Oatmeal with Milk and Blueberries</a>",361.0
213,36,Tropical protein smoothie,Lunch,1.2,1016,919,26,339,68,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
214,36,Prosciutto Sandwich with Spinach,Dinner,1.2,1014,400,223,355,31,"<a href=https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/>Prosciutto Sandwich with Spinach</a>",848.0
215,36,Pan Fried Cabbage,Dinner,1.2,260,133,86,21,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/>Pan Fried Cabbage</a>",218.0
216,36,Raspberry Mango Sunrise Smoothie,Snack,1.2,233,511,22,64,98,"<a href=https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/>Sunrise Smoothie</a>",195.0
217,36,Cucumber Slices,Snack,1.2,19,45,1,8,5,"<a href=https://www.eatthismuch.com/recipe/nutrition/cucumber-slices,1462006/>Cucumber Slices</a>",16.0
218,37,Peanut Butter Protein Oats,Breakfast,1.1,411,344,146,376,54,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
219,37,Quick Avocado Tuna Sandwich,Lunch,1.1,899,386,154,413,64,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>",852.0
220,37,Honey Pecan Chicken Breast,Dinner,1.1,814,319,177,305,11,"<a href=https://www.eatthismuch.com/recipe/nutrition/honey-pecan-chicken-breast,39310/>Honey Pecan Chicken Breast</a>",772.0
221,37,Sautéed Spinach with Onions,Dinner,1.1,487,101,225,21,22,"<a href=https://www.eatthismuch.com/recipe/nutrition/sauteed-spinach-with-onions,906139/>Sautéed Spinach with Onions</a>",462.0
222,37,Peanut butter and jelly,Snack,1.1,391,440,194,130,55,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/>Peanut butter and jelly</a>",371.0
223,38,"Spinach, Banana, and Peanut Butter Protein Shake",Breakfast,1.0,410,370,174,323,51,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/>Spinach, Banana, and Peanut Butter Protein Shake</a>",423.0
224,38,Quick Avocado Tuna Sandwich,Lunch,1.0,827,355,141,380,59,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>",852.0
225,38,High Protein Pita Pizza,Dinner,1.0,1402,417,378,493,58,"<a href=https://www.eatthismuch.com/recipe/nutrition/high-protein-pita-pizza,34678/>High Protein Pita Pizza</a>",1444.0
226,38,Easy Hard-Boiled Eggs,Dinner,1.0,139,3,46,61,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-hard-boiled-eggs,36640/>Easy Hard-Boiled Eggs</a>",144.0
227,38,Tuna & White Bean Salad,Snack,1.0,204,267,39,169,67,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-white-bean-salad,1487123/>Tuna & White Bean Salad</a>",211.0
228,39,"Bacon, Egg, and Cheese Breakfast Bagel",Breakfast,0.9,778,530,397,498,21,"<a href=https://www.eatthismuch.com/recipe/nutrition/bacon-egg-and-cheese-breakfast-bagel,1015949/>Bacon, Egg, and Cheese Breakfast Bagel</a>",877.0
229,39,Roast Beef and Cheddar Sandwich,Lunch,0.9,798,225,175,366,34,"<a href=https://www.eatthismuch.com/recipe/nutrition/roast-beef-and-cheddar-sandwich,906002/>Roast Beef and Cheddar Sandwich</a>",900.0
230,39,Cinnamon Apple Delight,Lunch,0.9,397,342,9,159,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-delight,46501/>Cinnamon Apple Delight</a>",448.0
231,39,Beef Stir Fry,Dinner,0.9,520,258,77,209,76,"<a href=https://www.eatthismuch.com/recipe/nutrition/beef-stir-fry,33767/>Beef Stir Fry</a>",586.0
232,39,Sautéed Kale,Dinner,0.9,126,19,61,7,5,"<a href=https://www.eatthismuch.com/recipe/nutrition/sauteed-kale,906652/>Sautéed Kale</a>",142.0
233,39,Breakfast Greek Yogurt Delight,Snack,0.9,375,331,159,288,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/breakfast-greek-yogurt-delight,937020/>Breakfast Greek Yogurt Delight</a>",423.0
234,40,Tropical protein smoothie,Breakfast,1.2,530,959,27,354,71,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Tropical protein smoothie</a>",425.0
235,40,Big Bad Bean Burrito,Lunch,1.2,608,385,148,94,140,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
236,40,Carrots with Hummus,Lunch,1.2,436,279,93,88,98,"<a href=https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/>Carrots with Hummus</a>",350.0
237,40,Spicy Chicken Salad,Dinner,1.2,1162,158,248,682,21,"<a href=https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/>Spicy Chicken Salad</a>",932.0
238,40,Corn Flakes,Snack,1.2,276,440,62,125,11,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
239,41,"Eggs, Cheese, Turkey Sausage Omelet",Breakfast,0.9,340,21,226,300,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-turkey-sausage-omelet,35583/>Turkey and Cheese Omelet</a>",368.0
240,41,Nonfat yogurt,Breakfast,0.9,126,173,3,129,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/nonfat-yogurt,473055/>Nonfat yogurt</a>",137.0
241,41,Turkey Sausage and Pesto Breakfast Sandwich,Lunch,0.9,479,245,115,95,22,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/>Turkey Sandwich</a>",518.0
242,41,Grapes,Lunch,0.9,192,252,1,10,12,"<a href=https://www.eatthismuch.com/recipe/nutrition/grapes,474464/>Grapes</a>",208.0
243,41,Cheesy Chicken and Spinach,Dinner,0.9,939,71,228,575,22,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/>Cheesy Chicken and Spinach</a>",1016.0
244,41,Fried Ripe Plantains,Dinner,0.9,632,528,135,21,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/fried-ripe-plantains,854446/>Fried Ripe Plantains</a>",684.0
245,41,Ham & Cheese Sandwich,Snack,0.9,277,234,127,169,34,"<a href=https://www.eatthismuch.com/recipe/nutrition/ham-cheese-sandwich,412953/>Ham and cheese sandwich</a>",300.0
246,42,Bagel with Cream Cheese and Lox,Breakfast,1.2,454,674,91,248,19,"<a href=https://www.eatthismuch.com/recipe/nutrition/bagel-with-cream-cheese-and-lox,906737/>Bagel with Cream Cheese and Lox</a>",387.0
247,42,Quick Salsa Tuna Wrap,Lunch,1.2,873,305,135,485,19,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-salsa-tuna-wrap,1012835/>Quick Salsa Tuna Wrap</a>",744.0
248,42,Pasta with Red Sauce and Mozzarella,Dinner,1.2,725,559,84,189,101,"<a href=https://www.eatthismuch.com/recipe/nutrition/pasta-with-red-sauce-and-mozzarella,907167/>Pasta with Red Sauce and Mozzarella</a>",618.0
249,42,Broccoli with Cheddar Cheese,Dinner,1.2,556,164,187,160,89,"<a href=https://www.eatthismuch.com/recipe/nutrition/broccoli-with-cheddar-cheese,207466/>Broccoli with Cheddar Cheese</a>",474.0
250,42,Honey Strawberry Smoothie,Snack,1.2,331,389,146,128,36,"<a href=https://www.eatthismuch.com/recipe/nutrition/honey-strawberry-smoothie,939666/>Honey Strawberry Smoothie</a>",282.0
251,42,Oranges,Snack,1.2,72,180,2,14,36,"<a href=https://www.eatthismuch.com/recipe/nutrition/oranges,477502/>Oranges</a>",62.0
252,43,Fried Egg and Ham Sandwich,Breakfast,1.0,404,276,181,308,33,"<a href=https://www.eatthismuch.com/recipe/nutrition/fried-egg-and-ham-sandwich,906087/>Fried Egg and Ham Sandwich</a>",408.0
253,43,Vanilla protein milkshake,Lunch,1.0,752,368,94,354,1,"<a href=https://www.eatthismuch.com/recipe/nutrition/vanilla-protein-milkshake,34675/>Vanilla protein milkshake</a>",758.0
254,43,Oriental Chicken Stir-Fry,Dinner,1.0,718,297,106,353,88,"<a href=https://www.eatthismuch.com/recipe/nutrition/oriental-chicken-stir-fry,34095/>Oriental Chicken Stir-Fry</a>",724.0
255,43,Strawberry Smoothie,Snack,1.0,978,718,621,409,163,"<a href=https://www.eatthismuch.com/recipe/nutrition/strawberry-smoothie,948544/>Strawberry Oatmeal Breakfast Smoothie</a>",986.0
256,43,Almonds,Snack,1.0,162,60,140,59,34,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",164.0
257,44,Vanilla Banana Milkshake,Breakfast,1.1,383,643,93,137,34,"<a href=https://www.eatthismuch.com/recipe/nutrition/vanilla-banana-milkshake,906702/>Vanilla Banana Milkshake</a>",364.0
258,44,Pecans,Breakfast,1.1,206,41,215,27,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/pecans,532146/>Pecans</a>",196.0
259,44,Salami and Gouda Sandwich,Lunch,1.1,664,224,203,181,47,"<a href=https://www.eatthismuch.com/recipe/nutrition/salami-and-gouda-sandwich,906101/>Salami and Gouda Sandwich</a>",630.0
260,44,Peanut Butter & Celery,Lunch,1.1,440,112,170,90,48,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-celery,34219/>Peanut Butter & Celery</a>",418.0
261,44,Easy Cheesy Mixed Vegetables,Dinner,1.1,984,275,151,583,87,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/>Easy Cheesy Mixed Vegetables</a>",934.0
262,44,Plain Tuna Salad,Snack,1.1,188,24,50,339,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/plain-tuna-salad,905559/>Plain Tuna Salad</a>",179.0
263,44,Banana,Snack,1.1,110,284,4,13,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",105.0
264,45,Cinnamon Almond Oatmeal,Breakfast,1.3,477,701,194,170,187,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/>Cinnamon Almond Oatmeal</a>",366.0
265,45,Quick Salsa Tuna Wrap,Lunch,1.3,970,339,149,538,22,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-salsa-tuna-wrap,1012835/>Quick Salsa Tuna Wrap</a>",744.0
266,45,Balsamic Chicken Salad,Dinner,1.3,706,89,190,385,26,"<a href=https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/>Balsamic Chicken Salad</a>",542.0
267,45,3 Ingredient Peanut Butter Cookies,Dinner,1.3,312,168,89,41,7,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-ingredient-peanut-butter-cookies,1021715/>3 Ingredient Peanut Butter Cookies</a>",240.0
268,45,Cinnamon-Raisin Peanut Butter Sandwich,Snack,1.3,515,628,236,195,91,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/>Cinnamon-Raisin Peanut Butter Sandwich</a>",395.0
269,46,Banana Yogurt Protein Shake,Breakfast,0.8,225,212,51,238,16,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/>Banana Yogurt Protein Shake</a>",277.0
270,46,Buttered Toast,Breakfast,0.8,98,97,54,28,13,"<a href=https://www.eatthismuch.com/recipe/nutrition/buttered-toast,254567/>Buttered Toast</a>",121.0
271,46,Cinnamon-Raisin Peanut Butter Sandwich,Lunch,0.8,643,392,147,122,57,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/>Cinnamon-Raisin Peanut Butter Sandwich</a>",790.0
272,46,3 Bean Salad,Dinner,0.8,1711,1555,67,530,408,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/>Green Bean and Kidney Bean Salad</a>",2102.0
273,46,Plain Tuna Salad,Snack,0.8,145,18,39,262,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/plain-tuna-salad,905559/>Plain Tuna Salad</a>",179.0
274,46,Peanut Butter & Celery,Snack,0.8,170,87,131,70,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-celery,34219/>Peanut Butter & Celery</a>",209.0
275,47,Strawberry Banana Protein Shake,Breakfast,1.1,271,314,47,268,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/>Strawberry Protein Shake</a>",257.0
276,47,Tropical protein smoothie,Lunch,1.1,898,812,23,300,60,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
277,47,Peanut Butter & Celery,Lunch,1.1,441,113,171,90,48,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-celery,34219/>Peanut Butter & Celery</a>",418.0
