,0,measure,amount,item,4,link_rece
182,,                                    2,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/blueberry-protein-pudding,386736/"
183,,                                    3 1/2,                                    oz,"                                    Blueberries, frozen",                                    ,"https://www.eatthismuch.com/recipe/nutrition/blueberry-protein-pudding,386736/"
184,,                                    1,                                    cup,                                    Corn flakes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
185,,                                    1,                                    cup,                                    Reduced fat milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
186,,                                    3 1/2,                                    oz,                                    100% Liquid Egg Whites,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
187,,                                    1,                                    oz,                                    Old Fashioned Quaker Oats,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
188,,                                    1/3,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
189,,                                    1/3,"                                    cup, (not packed)",                                    Cottage cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
190,,                                    1/2,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
191,,                                    1,                                    tsp,                                    Cocoa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
192,,                                    1,"                                    small (6"" to 6-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
193,,                                    3,                                    oz,                                    Turkey bacon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
194,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
195,,                                    2,                                    leaf outer,                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
196,,                                    2,"                                    slice, medium (1/4"" thick)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
197,,                                    1,                                    tbsp,                                    Light mayonnaise,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
198,,                                    2,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-coconut-and-grape-smoothie,906882/"
199,,                                    1,                                    cup,                                    Coconut water (liquid from coconuts),                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-coconut-and-grape-smoothie,906882/"
200,,                                    2,                                    cup,                                    Grapes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-coconut-and-grape-smoothie,906882/"
201,,                                    2,"                                    medium (2-2/3"" dia)",                                    Peaches,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-coconut-and-grape-smoothie,906882/"
202,,                                    1,                                    cup,                                    Brussels sprouts,                                    ,"https://www.eatthismuch.com/recipe/nutrition/garlic-roasted-brussels-sprouts,412930/"
203,,                                    1,"                                    cloves, minced",                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/garlic-roasted-brussels-sprouts,412930/"
204,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/garlic-roasted-brussels-sprouts,412930/"
205,,                                    1,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/"
206,,                                    1,"                                    medium bagel (3-1/2"" to 4"" dia)",                                    Bagels,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/"
207,,                                    3,"                                    slice, medium (1/4"" thick)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/"
208,,                                    2,"                                    leaf, large",                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/"
209,,                                    1,                                    tbsp,                                    Light mayonnaise,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mayo-bagel,34762/"
210,,                                    1,                                    slice large,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/buttered-toast-with-cinnamon,906422/"
211,,                                    1,                                    tsp,                                    Butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/buttered-toast-with-cinnamon,906422/"
212,,                                    1/8,                                    tsp,                                    Cinnamon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/buttered-toast-with-cinnamon,906422/"
213,,                                    1 1/2,                                    cup,                                    Raspberries,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
214,,                                    2/3,                                    cup,                                    Lowfat milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
215,,                                    1/2,                                    cup,                                    Ice cubes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
216,,                                    1 1/2,"                                    cup, sliced",                                    Mangos,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
217,,                                    2/3,                                    cup,                                    Orange juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
218,,                                    1/2,                                    cup,                                    Ice cubes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/raspberry-mango-sunrise-smoothie,936059/"
219,,                                    1,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/"
220,,                                    1/2,                                    cup,                                    Almond milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/"
221,,                                    1/2,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/"
222,,                                    1/2,                                    cup (8 fl oz),                                    Plain yogurt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/"
223,,                                    1/2,                                    cup,                                    Ice cubes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-yogurt-protein-shake,1011257/"
224,,                                    1,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/"
225,,                                    1,                                    cup,                                    Almond Coconut Blend Milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/"
226,,                                    6,"                                    large (1-3/8"" dia)",                                    Strawberries,                                    ,"https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/"
227,,                                    1/2,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/"
228,,                                    1,"                                    fruit, without skin and seed",                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
229,,                                    1,                                    tbsp,                                    Lemon juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
230,,                                    1,                                    tbsp chopped,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
231,,                                    5,                                    oz,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
232,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
233,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/paleo-avocado-tuna-salad-tuna-in-water,3172586/"
234,,                                    1,"                                    small (6"" to 6-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/"
235,,                                    1,"                                    cup, unthawed",                                    Strawberries,                                    ,"https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/"
236,,                                    2,                                    tbsp,                                    Almond butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/"
237,,                                    1,                                    tbsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/"
238,,                                    1,                                    cup,                                    Almond milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/"
239,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
240,,                                    2,                                    half breast (fillet),                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
241,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
242,,                                    1,                                    cup cherry tomatoes,                                    Cherry tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
243,,                                    1,                                    oz,                                    Mozzarella cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
244,,                                    1/4,"                                    head, medium (about 5-3/4"" dia)",                                    Cabbage,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
245,,                                    1,                                    tbsp,                                    Vegetable oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
246,,                                    4,                                    tbsp chopped,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
247,,                                    1,                                    tsp,                                    Sugar,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
248,,                                    1/2,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
249,,                                    1,                                    tsp,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pan-fried-cabbage,905708/"
250,,                                    1/2,                                    cup,                                    Pasta sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/zucchini-pasta,55094/"
251,,                                    1,                                    medium,                                    Zucchini,                                    ,"https://www.eatthismuch.com/recipe/nutrition/zucchini-pasta,55094/"
252,,                                    1/3,                                    cup,                                    Parmesan cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/zucchini-pasta,55094/"
253,,                                    3,"                                    potato large (3"" to 4-1/4"" dia)",                                    Russet potatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-and-easy-home-fries,206224/"
254,,                                    3,                                    tbsp,                                    Butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-and-easy-home-fries,206224/"
255,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-and-easy-home-fries,206224/"
256,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-and-easy-home-fries,206224/"
257,,                                    1,"                                    roll (3-1/2"" dia)",                                    Hard rolls,                                    ,"https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/"
258,,                                    1/2,                                    tbsp,                                    Light mayonnaise,                                    ,"https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/"
259,,                                    0,                                    oz,                                    Mozzarella cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/"
260,,                                    2,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/"
261,,                                    4,                                    slices,                                    Prosciutto,                                    ,"https://www.eatthismuch.com/recipe/nutrition/prosciutto-sandwich-with-spinach,412945/"
262,,                                    2,                                    tsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/beef-stir-fry,33767/"
263,,                                    3,                                    package (10 oz),                                    Mixed vegetables,                                    ,"https://www.eatthismuch.com/recipe/nutrition/beef-stir-fry,33767/"
264,,                                    2,                                    tbsp,                                    Soy sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/beef-stir-fry,33767/"
265,,                                    300,                                    grams,                                    Beef tri-tip roast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/beef-stir-fry,33767/"
266,,                                    1/2,                                    cup,                                    Vanilla ice cream,                                    ,"https://www.eatthismuch.com/recipe/nutrition/vanilla-banana-milkshake,906702/"
267,,                                    1,                                    cup,                                    Reduced fat milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/vanilla-banana-milkshake,906702/"
268,,                                    1,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/vanilla-banana-milkshake,906702/"
269,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/"
270,,                                    1,                                    tbsp,                                    Light mayonnaise,                                    ,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/"
271,,                                    1/2,                                    can (12 oz) yields,                                    Corn,                                    ,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/"
272,,                                    1,                                    half breast (fillet),                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
273,,                                    2,                                    cup,                                    Brussels sprouts,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
274,,                                    2,                                    tbsp,                                    Lemon juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
275,,                                    1,                                    oz,                                    Parmesan cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
276,,                                    1/4,"                                    cup, sliced",                                    Almonds,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
277,,                                    1,                                    tbsp,                                    Chicken broth,                                    ,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
278,,                                    2,                                    large,                                    Zucchini,                                    ,"https://www.eatthismuch.com/recipe/nutrition/grilled-zucchini-spears,907053/"
279,,                                    1/2,                                    tbsp,                                    Parsley,                                    ,"https://www.eatthismuch.com/recipe/nutrition/grilled-zucchini-spears,907053/"
280,,                                    1/2,"                                    tbsp, leaves",                                    Thyme,                                    ,"https://www.eatthismuch.com/recipe/nutrition/grilled-zucchini-spears,907053/"
281,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/grilled-zucchini-spears,907053/"
282,,                                    1 1/2,"                                    breast, bone removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
283,,                                    2,                                    oz,                                    Pork skins,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
284,,                                    3,                                    tbsp,                                    Dijon mustard,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
285,,                                    1,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
286,,                                    1,                                    tsp,                                    Garlic powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
287,,                                    1/2,                                    tsp,                                    Cayenne pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
288,,                                    2,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pork-rind-crusted-chicken,412952/"
289,,                                    2,                                    cup,                                    Baby Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-avocado-smoothie-bowl,1028348/"
290,,                                    1/2,"                                    fruit, without skin and seed",                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-avocado-smoothie-bowl,1028348/"
291,,                                    2/3,                                    cup (8 fl oz),                                    Unsweetened Coconut Milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-avocado-smoothie-bowl,1028348/"
292,,                                    24,"                                    date, pitted",                                    Dates,                                    ,"https://www.eatthismuch.com/recipe/nutrition/date-almond-and-cocoa-bliss-balls,974523/"
293,,                                    3/4,"                                    cup, sliced",                                    Almonds,                                    ,"https://www.eatthismuch.com/recipe/nutrition/date-almond-and-cocoa-bliss-balls,974523/"
294,,                                    1/3,                                    cup,                                    Cocoa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/date-almond-and-cocoa-bliss-balls,974523/"
295,,                                    2,                                    tbsp,                                    Coconut oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/date-almond-and-cocoa-bliss-balls,974523/"
296,,                                    1,                                    roll,                                    Hamburger bun,                                    ,"https://www.eatthismuch.com/recipe/nutrition/barbecue-tuna-sandwich,37612/"
297,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/barbecue-tuna-sandwich,37612/"
298,,                                    4,                                    tbsp,                                    Barbecue sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/barbecue-tuna-sandwich,37612/"
299,,                                    2,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
300,,                                    2,"                                    medium (approx 2-3/4"" long, 2-1/2 dia.)",                                    Red bell pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
301,,                                    1,                                    onion,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
302,,                                    1,                                    tsp,                                    Fajita Seasoning Mix,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
303,,                                    1/2,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
304,,                                    4,"                                    tortilla (approx 7-8"" dia)",                                    Tortillas,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
305,,                                    1 1/2,                                    tbsp,                                    Canola oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/"
306,,                                    32,                                    oz,                                    Ground beef,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
307,,                                    1,                                    tbsp,                                    Rosemary,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
308,,                                    1,                                    tbsp,                                    Thyme,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
309,,                                    1,                                    tbsp,                                    Sage,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
310,,                                    1,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
311,,                                    1,                                    tbsp,                                    Coconut oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/"
312,,                                    2,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
313,,                                    1 1/2,                                    cup,                                    Parmesan cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
314,,                                    8,                                    oz,                                    Goat cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
315,,                                    8,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
316,,                                    8,"                                    slice, medium (1/4"" thick)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
317,,                                    1,                                    tsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
318,,                                    3,                                    clove,                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
319,,                                    1,                                    lb,                                    Ground turkey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
320,,                                    3,                                    cup,                                    Green beans,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
321,,                                    1,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
322,,                                    1/2,"                                    cup, chopped",                                    Walnuts,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ground-turkey-bean-walnut-stir-fry,717737/"
323,,                                    1,"                                    tortilla (approx 7-8"" dia)",                                    Tortillas,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/"
324,,                                    3,                                    slice,                                    Deli cut turkey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/"
325,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/"
326,,                                    1,                                    oz,                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/"
327,,                                    4,                                    cup,                                    Popcorn,                                    ,"https://www.eatthismuch.com/recipe/nutrition/salt-vinegar-popcorn,334896/"
328,,                                    4,                                    tablespoon,                                    Malt Vinegar,                                    ,"https://www.eatthismuch.com/recipe/nutrition/salt-vinegar-popcorn,334896/"
329,,                                    1,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/salt-vinegar-popcorn,334896/"
330,,                                    1,                                    cup cherry tomatoes,                                    Cherry tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/"
331,,                                    1,                                    oz,                                    Feta cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/"
332,,                                    1/4,"                                    tsp, leaves",                                    Basil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/"
333,,                                    1/2,"                                    cucumber (8-1/4"")",                                    Cucumber,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
334,,                                    1/3,                                    cup,                                    White beans,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
335,,                                    1/2,                                    fruit,                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
336,,                                    2,                                    tsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
337,,                                    1/4,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
338,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
339,,                                    3,                                    cup shredded,                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/white-bean-veggie-salad,1478426/"
340,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/"
341,,                                    1,                                    stalk,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/"
342,,                                    1/2,"                                    fruit, without skin and seed",                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/"
343,,                                    1,"                                    roll (3-1/2"" dia)",                                    Hard rolls,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/"
344,,                                    5,                                    tbsp,                                    Hummus,                                    ,"https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/"
345,,                                    1,                                    cup strips or slices,                                    Carrots,                                    ,"https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/"
346,,                                    1,                                    slice regular,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-toast,905650/"
347,,                                    1 1/2,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-toast,905650/"
348,,                                    1,                                    tbsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-toast,905650/"
349,,                                    2,                                    tsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/"
350,,                                    1,                                    half breast (fillet),                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/"
351,,                                    2,                                    cup shredded,                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/"
352,,                                    1,                                    tbsp,                                    Newman's own low fat balsamic vinaigrette,                                    ,"https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/"
353,,                                    1,                                    tbsp,                                    Parmesan cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-salad,907054/"
354,,                                    1/2,                                    cup,                                    Oatmeal,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-oatmeal,413007/"
355,,                                    1/2,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-oatmeal,413007/"
356,,                                    1/2,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-oatmeal,413007/"
357,,                                    1 1/4,                                    tbsp,                                    Peanut butter with omega-3,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-oatmeal,413007/"
358,,                                    1,                                    cup,                                    Corn flakes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-honey-corn-flakes,905783/"
359,,                                    1,                                    cup,                                    Reduced fat milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-honey-corn-flakes,905783/"
360,,                                    1/4,                                    tsp,                                    Cinnamon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-honey-corn-flakes,905783/"
361,,                                    1,                                    tbsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-honey-corn-flakes,905783/"
362,,                                    2,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-black-bean-skillet,382744/"
363,,                                    1/4,                                    cup,                                    Canned black beans,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-black-bean-skillet,382744/"
364,,                                    2,                                    tbsp,                                    Salsa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-black-bean-skillet,382744/"
365,,                                    1/4,                                    fruit,                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-black-bean-skillet,382744/"
366,,                                    1,                                    muffin,                                    English muffins,                                    ,"https://www.eatthismuch.com/recipe/nutrition/protein-packed-tuna-melt,939656/"
